site_code,rsid,start_date,end_date,panel,table,reportlet,dimension,dimension_name,itemId,dim_value,value_n,metric_origin,metric,segments,device,value1
us,sscompany_name4newus,2026-05-19,2026-06-07,Shop Traffic By Division,shop_div1_visit,Shop DIV1 Visit,,,,(summary),value1,Visits,Visits,[Device] Mobile; [Global] DIV1 Visit; [part_name] All Page Track(PAGE_TYPES),Mobile,5266539.0
us,sscompany_name4newus,2026-05-19,2026-06-07,Shop Traffic By Division,shop_div1_visit,Shop DIV1 Visit,,,,(summary),value2,Unique Visitors,Unique Visitors,[Device] Mobile; [Global] DIV1 Visit; [part_name] All Page Track(PAGE_TYPES),Mobile,4426510.0
us,sscompany_name4newus,2026-05-19,2026-06-07,Shop Traffic By Division,shop_div1_visit,Shop DIV1 Visit,,,,(summary),value3,Non bounced visit,Non bounced visit,[Device] Mobile; [Global] DIV1 Visit; [part_name] All Page Track(PAGE_TYPES),Mobile,1408148.0
us,sscompany_name4newus,2026-05-19,2026-06-07,Shop Traffic By Division,shop_div1_visit,Shop DIV1 Visit,,,,(summary),value4,Page Views,Page Views,[Device] Mobile; [Global] DIV1 Visit; [part_name] All Page Track(PAGE_TYPES),Mobile,7096099.0
us,sscompany_name4newus,2026-05-19,2026-06-07,Shop Traffic By Division,shop_div1_visit,Shop DIV1 Visit,,,,(summary),value5,Visits,Visits,[Device] PC; [Global] DIV1 Visit; [part_name] All Page Track(PAGE_TYPES),PC,875363.0
us,sscompany_name4newus,2026-05-19,2026-06-07,Shop Traffic By Division,shop_div1_visit,Shop DIV1 Visit,,,,(summary),value6,Unique Visitors,Unique Visitors,[Device] PC; [Global] DIV1 Visit; [part_name] All Page Track(PAGE_TYPES),PC,713131.0
us,sscompany_name4newus,2026-05-19,2026-06-07,Shop Traffic By Division,shop_div1_visit,Shop DIV1 Visit,,,,(summary),value7,Non bounced visit,Non bounced visit,[Device] PC; [Global] DIV1 Visit; [part_name] All Page Track(PAGE_TYPES),PC,433900.0
us,sscompany_name4newus,2026-05-19,2026-06-07,Shop Traffic By Division,shop_div1_visit,Shop DIV1 Visit,,,,(summary),value8,Page Views,Page Views,[Device] PC; [Global] DIV1 Visit; [part_name] All Page Track(PAGE_TYPES),PC,1556927.0
us,sscompany_name4newus,2026-05-19,2026-06-07,Shop Traffic By Division,shop_div1_visit,Shop DIV1 Visit,,,,(summary),value9,Visits,Visits,[Device] Android; [Global] DIV1 Visit; [part_name] All Page Track(PAGE_TYPES),Android,327293.0
us,sscompany_name4newus,2026-05-19,2026-06-07,Shop Traffic By Division,shop_div1_visit,Shop DIV1 Visit,,,,(summary),value10,Unique Visitors,Unique Visitors,[Device] Android; [Global] DIV1 Visit; [part_name] All Page Track(PAGE_TYPES),Android,187850.0
us,sscompany_name4newus,2026-05-19,2026-06-07,Shop Traffic By Division,shop_div1_visit,Shop DIV1 Visit,,,,(summary),value11,Non bounced visit,Non bounced visit,[Device] Android; [Global] DIV1 Visit; [part_name] All Page Track(PAGE_TYPES),Android,326963.0
us,sscompany_name4newus,2026-05-19,2026-06-07,Shop Traffic By Division,shop_div1_visit,Shop DIV1 Visit,,,,(summary),value12,Page Views,Page Views,[Device] Android; [Global] DIV1 Visit; [part_name] All Page Track(PAGE_TYPES),Android,1024971.0
